0,39.25,0.43,22.75,0.43,33.75,1.3,0
250,39.25,0.43,23,0,33,0,0
500,39.25,0.43,23.25,0.43,33,0,0
750,39.5,0.5,23,0.71,33,0,0
1000,39.5,0.5,24,0,33,0,0
1250,39.25,0.43,24,0,33,0,0
1500,39.25,0.43,24,0,33,0,0
1750,39,0,23.75,0.43,33,0,0
2000,39.5,0.5,24,0,33,0,0
2250,39.5,0.5,23,0,33,0,0
2500,39.5,0.5,23.25,0.43,33,0,0
2750,39.5,0.5,23.5,0.5,32.75,0.43,0
3000,39.5,0.5,23.75,0.43,32.5,0.5,0
3250,39.67,0.47,23.75,0.43,33,0,0
3500,39.5,0.5,24,0,33,0,0
3750,39.5,0.5,23.25,0.43,33,0,0
4000,39.5,0.5,22.5,0.5,33,0,0
4250,39.5,0.5,22,0.71,33,0,0
4500,40.25,0.83,21,0,33,0,0
4750,40.5,0.5,18.67,1.7,33,0,0
5000,40.67,0.47,15.5,0.87,33,0,0
5250,40.5,0.5,15,0,33,0,0
5500,40.5,0.5,15,0,33,0,0
5750,40.33,0.47,16,0,33,0,0
6000,40.5,0.5,16,0.71,33,0,0
6250,40.5,0.5,16.5,0.87,33,0,0
6500,40.5,0.5,17.5,0.87,33,0,0
6750,40.5,0.5,19.75,1.09,33.75,1.3,0
7000,40.75,0.83,21,0,33,0,0
7250,40.75,0.83,21,0,33,0,0
7500,41,1,20.75,0.43,33.75,1.3,0
7750,41,1,19.67,0.47,34,1.41,0
8000,40.75,0.83,19.25,0.43,33.75,1.3,0
8250,40.67,0.47,19.75,0.43,34,1.41,0
8500,41,0.82,19,0.71,35,1.41,0
8750,41,0.89,17.75,1.09,34.2,1.47,0
9000,41.5,0.5,18,0,33,0,0
9250,41.67,0.47,19.5,0.5,33.75,1.3,0
9500,41.25,0.83,20.25,0.43,34.25,1.3,0
9750,41,0.82,20.33,0.47,33.75,1.3,0
10000,41.5,0.5,21,0,33.75,1.3,0
10250,41.5,0.5,19.25,1.3,33,0,0
10500,41.5,0.5,17.75,0.83,34.5,1.5,0
10750,41.5,0.5,19,0.71,35.25,1.3,0
11000,41.5,0.5,15.5,2.18,33,0,0
11250,41.75,0.43,15,0,33.5,0.87,0
11500,41.75,0.43,14.75,0.43,33,0,0
11750,41.75,0.43,11.75,0.43,33.75,1.3,0
12000,41.75,0.43,13.75,1.09,34.5,1.5,0
12250,41.5,0.5,13.5,1.5,33.75,1.3,0
12500,41.5,0.5,13.33,1.25,33,0,0
12750,41.5,0.5,16.25,1.3,33,0,0
13000,41.75,0.43,17.75,0.43,32.5,0.5,0
13250,41.75,0.43,16,0.71,33,0,0
13500,42,0,15,1,33,0,0
13750,42,0,13.5,1.12,33,0,0
14000,41.75,0.43,13,1.22,33,0,0
14250,41.75,0.43,13.25,1.09,33,0,0
14500,41.5,0.5,12.25,0.43,33,0,0
14750,41.67,0.47,13,1,33,0,0
15000,41.5,0.5,12.5,0.87,33,0,0
15250,41.5,0.5,14.5,0.5,32.75,0.43,0
15500,41.33,0.47,14.67,2.49,33.75,1.3,0
15750,41.5,0.5,17.5,1.5,33,0,0
16000,41.5,0.5,16.5,1.12,33.75,1.3,0
16250,41.75,0.43,15.25,1.09,33,0,0
16500,42,0,15.75,0.83,33,0,0
16750,41.75,0.43,15.75,0.43,33,0,0
17000,42,0,15,0,33,0,0
17250,41.75,0.43,15.33,0.47,33,0,0
17500,42,0,4,0,33,0,0
17750,41.75,0.43,9.5,1.8,33,0,0
18000,42,0,10.67,0.47,33,0,0
18250,41.5,0.5,13,1,33.75,1.3,0
